GEOR030105	1.065 1.192 1.131 0.478 0.762 1.369 0.836 1.368 1.015 1.241 0.861 1.097 0.736 0.822 1.022 1.017 0.973 0.836 1.189 1.14
GEOR030101	0.964 1.085 1.143 0.944 0.944 1.032 0.916 1.119 0.778 1.299 1.047 0.947 1.051 1.017 0.835 0.895 1.014 1.0 0.922 0.955
DIGM050101	1.076 1.054 1.361 1.105 1.056 0.974 1.29 0.869 0.753 0.82 0.729 1.342 1.118 0.871 1.346 0.666 0.985 0.531 0.926 1.131
MIYS990103	-0.03 -0.38 0.09 0.32 0.13 -0.3 0.17 -0.34 -0.36 0.2 0.13 0.1 0.23 0.01 0.09 -0.24 -0.04 -0.23 -0.33 -0.29
KARS160110	0.0 -4.729 -4.307 -3.151 -4.178 -2.812 -4.178 -4.801 -2.243 -4.0 -4.255 1.0 -3.425 -3.928 0.0 -6.324 -3.721 -4.793 -6.085 -3.928
BASU050101	0.1366 0.4251 0.0363 -0.0101 -0.0345 0.1747 -0.1233 0.4076 0.2745 0.0019 0.0325 -0.0433 -0.0484 0.0589 -0.0464 0.2362 0.0549 0.3167 0.4172 0.4084
KARS160120	0.0 0.0 0.0 -0.179 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.227 0.0 0.211 -1.734 -0.96 -1.641 0.0
KARS160122	0.0 3.113 4.2 1.372 3.0 2.656 2.969 2.026 6.0 12.0 1.849 6.0 1.822 6.0 0.0 2.044 1.605 1.599 3.373 6.0
ZIMJ680104	6.0 5.98 10.76 9.74 5.41 5.74 2.77 5.48 5.05 6.3 5.65 5.68 3.22 5.66 5.97 5.89 7.59 5.66 6.02 5.96
FAUJ880109	0.0 0.0 4.0 2.0 2.0 0.0 1.0 0.0 0.0 0.0 2.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 0.0 0.0
ARGP820101	0.61 1.53 0.6 1.15 0.06 1.18 0.46 2.02 1.07 1.95 0.0 0.05 0.47 0.05 0.07 2.65 0.61 1.88 2.22 1.32
FAUJ880103	1.0 4.0 6.13 4.77 2.95 4.43 2.78 5.89 2.43 2.72 3.95 1.6 3.78 2.6 0.0 8.08 4.66 6.47 4.0 3.0
GEIM800101	1.29 1.31 1.0 1.33 0.81 1.54 1.1 1.13 0.79 0.63 1.07 0.78 1.49 0.77 0.63 1.18 1.33 0.71 1.05 0.81
CHOP780101	0.66 0.59 0.95 1.01 1.56 0.6 1.46 0.6 1.19 1.52 0.98 1.43 0.74 0.96 1.56 0.96 0.95 1.14 0.47 0.5
DAYM780101	8.6 7.4 4.9 6.6 4.3 1.7 5.5 3.6 2.9 5.2 3.9 7.0 6.0 6.1 8.4 1.3 2.0 3.4 4.5 6.6
